period,time,speedup
20.0,803.4,0.12394093290466698
10.0,187.06,0.06566688431591437
6.666666666666667,63.82,0.032007302198684
5.0,27.32,0.022883371863168824
4.0,27.34,0.033134574364940855
3.3333333333333335,25.64,0.04572203002960163
2.857142857142857,24.46,0.06291799567856776
2.5,23.7,0.09156235512285582
2.2222222222222223,23.08,0.1407832133707454
2.0,22.64,0.22984771573604063
1.8181818181818181,22.26,0.5635443037974684
1.6666666666666667,22.08,1.1452282157676348
1.5384615384615383,21.9,1.4020486555697824
1.4285714285714286,21.66,1.5650289017341041
1.3333333333333333,21.34,1.746317512274959
1.25,21.16,1.9201451905626135
1.1764705882352942,21.14,2.0725490196078433
1.1111111111111112,20.92,2.220806794055202
1.0526315789473684,20.9,2.3642533936651584
1.0,20.28,2.4375
